scenario_id,strategy,plan_id,feasible,discounted_cost_mln,total_cost_mln,capex_mln,min_service_total,min_service_critical,shortage_total_t,end_horizon_reserve_days,flexibility_share,required_intake_t_per_month,failed_constraints
MANDATORY_STRESS,ZBO 2037 + ISRU 2037 + Earth-New 2036/2037,ZBO2037+LUNAR_ISRU2037+EARTH_NEW20362037__MANDATORY_STRESS,true,10864.81,13282.07,1790,1,1,0,45.1,0.218,37.8,
MANDATORY_STRESS,ZBO 2036 + Earth-New 2036/2037,ZBO2036+EARTH_NEW20362037__MANDATORY_STRESS,true,10909.33,13545.04,540,1,1,0,45.1,0.201,37.8,
MANDATORY_STRESS,ZBO 2037 + Earth-New 2036/2037,ZBO2037+EARTH_NEW20362037__MANDATORY_STRESS,true,10918.78,13566.92,540,1,1,0,45.1,0.201,37.8,
MANDATORY_STRESS,ZBO 2036 + ISRU 2036 + Earth-New 2036/2037,ZBO2036+LUNAR_ISRU2036+EARTH_NEW20362037__MANDATORY_STRESS,true,10931.79,13260.19,1790,1,1,0,45.1,0.218,37.8,
MANDATORY_STRESS,ZBO 2037 + ISRU 2036 + Earth-New 2036/2037,ZBO2037+LUNAR_ISRU2036+EARTH_NEW20362037__MANDATORY_STRESS,true,10941.24,13282.07,1790,1,1,0,45.1,0.218,37.8,
MANDATORY_STRESS,ZBO 2036 + ISRU 2037,ZBO2036+LUNAR_ISRU2037__MANDATORY_STRESS,true,11131.79,13707.28,1430,1,1,0,45.1,0.364,37.8,
MANDATORY_STRESS,ZBO 2037 + ISRU 2037,ZBO2037+LUNAR_ISRU2037__MANDATORY_STRESS,true,11141.24,13729.16,1430,1,1,0,45.1,0.363,37.8,
MANDATORY_STRESS,ZBO 2036 + ISRU 2036,ZBO2036+LUNAR_ISRU2036__MANDATORY_STRESS,true,11208.21,13707.28,1430,1,1,0,45.1,0.364,37.8,
MANDATORY_STRESS,ZBO 2037 + ISRU 2036,ZBO2037+LUNAR_ISRU2036__MANDATORY_STRESS,true,11217.66,13729.16,1430,1,1,0,45.1,0.363,37.8,
MANDATORY_STRESS,ISRU 2037 + Earth-New 2035/2035,LUNAR_ISRU2037+EARTH_NEW20352035__MANDATORY_STRESS,false,10762.13,13141.34,1610,1,1,0,45,0.178,39.1,STRESS_LOSS_LIMIT:2038 STRESS_LOSS_LIMIT:2039 STRESS_LOSS_LIMIT:2040
MANDATORY_STRESS,Earth-New 2035/2035,EARTH_NEW20352035__MANDATORY_STRESS,false,10763.29,13374.23,360,1,1,0,45,0.136,39.1,STRESS_LOSS_LIMIT:2038 STRESS_LOSS_LIMIT:2039 STRESS_LOSS_LIMIT:2040
MANDATORY_STRESS,ISRU 2037 + Earth-New 2035/2036,LUNAR_ISRU2037+EARTH_NEW20352036__MANDATORY_STRESS,false,10775.45,13176.81,1610,1,1,0,45,0.191,39.1,STRESS_LOSS_LIMIT:2038 STRESS_LOSS_LIMIT:2039 STRESS_LOSS_LIMIT:2040
MANDATORY_STRESS,Earth-New 2035/2036,EARTH_NEW20352036__MANDATORY_STRESS,false,10776.61,13409.7,360,1,1,0,45,0.149,39.1,STRESS_LOSS_LIMIT:2038 STRESS_LOSS_LIMIT:2039 STRESS_LOSS_LIMIT:2040
MANDATORY_STRESS,ISRU 2036 + Earth-New 2035/2035,LUNAR_ISRU2036+EARTH_NEW20352035__MANDATORY_STRESS,false,10838.55,13141.34,1610,1,1,0,45,0.178,39.1,STRESS_LOSS_LIMIT:2038 STRESS_LOSS_LIMIT:2039 STRESS_LOSS_LIMIT:2040
MANDATORY_STRESS,ISRU 2036 + Earth-New 2035/2036,LUNAR_ISRU2036+EARTH_NEW20352036__MANDATORY_STRESS,false,10851.88,13176.81,1610,1,1,0,45,0.191,39.1,STRESS_LOSS_LIMIT:2038 STRESS_LOSS_LIMIT:2039 STRESS_LOSS_LIMIT:2040
MANDATORY_STRESS,Без инвестиций,NO_INVEST__MANDATORY_STRESS,false,10969.96,13688.44,0,0.8991,1,45.27,0,0.338,31.7,RESERVE_45D:2040 STRESS_LOSS_LIMIT:2038 STRESS_LOSS_LIMIT:2039 STRESS_LOSS_LIMIT:2040
MANDATORY_STRESS,ZBO 2036,ZBO2036__MANDATORY_STRESS,false,10987.49,13694.06,180,0.9549,1,20.21,0,0.332,31.7,RESERVE_45D:2040
MANDATORY_STRESS,ZBO 2037,ZBO2037__MANDATORY_STRESS,false,10996.94,13715.95,180,0.9549,1,20.22,0,0.331,31.7,RESERVE_45D:2040
MANDATORY_STRESS,ISRU 2037 + Earth-New 2036/2037,LUNAR_ISRU2037+EARTH_NEW20362037__MANDATORY_STRESS,false,11004.87,13485.3,1610,1,1,0,45,0.232,39.1,STRESS_LOSS_LIMIT:2038 STRESS_LOSS_LIMIT:2039 STRESS_LOSS_LIMIT:2040
MANDATORY_STRESS,ISRU 2036 + Earth-New 2036/2037,LUNAR_ISRU2036+EARTH_NEW20362037__MANDATORY_STRESS,false,11081.3,13485.3,1610,1,1,0,45,0.232,39.1,STRESS_LOSS_LIMIT:2038 STRESS_LOSS_LIMIT:2039 STRESS_LOSS_LIMIT:2040
MANDATORY_STRESS,Earth-New 2036/2037,EARTH_NEW20362037__MANDATORY_STRESS,false,11171.08,13920.38,360,1,1,0,45,0.223,39.1,STRESS_LOSS_LIMIT:2038 STRESS_LOSS_LIMIT:2039 STRESS_LOSS_LIMIT:2040
MANDATORY_STRESS,ISRU 2037,LUNAR_ISRU2037__MANDATORY_STRESS,false,11381.49,14068.92,1250,1,1,0,45,0.381,39.1,STRESS_LOSS_LIMIT:2038 STRESS_LOSS_LIMIT:2039 STRESS_LOSS_LIMIT:2040
MANDATORY_STRESS,ISRU 2036,LUNAR_ISRU2036__MANDATORY_STRESS,false,11457.91,14068.92,1250,1,1,0,45,0.381,39.1,STRESS_LOSS_LIMIT:2038 STRESS_LOSS_LIMIT:2039 STRESS_LOSS_LIMIT:2040
